record_type,run,pond_position,caught_order,species,rarity,length_cm,girth_cm,weight_kg,price,pond_total_value,caught_total_value,rarity_1_count,rarity_2_count,rarity_3_count,rarity_4_count,pond_value_min,pond_value_average,pond_value_max,seed
"fish","1","44","","Pacific Sardine","1","23","14.26","0.2227140381","2.90","","","","","","","","","",""
"fish","1","45","","Atlantic Cod","2","97","61.11","12.93713977","16.69","","","","","","","","","",""
"fish","1","46","","Common Carp","1","42","31.5","1.66698","4.22","","","","","","","","","",""
"fish","1","47","","Atlantic Herring","1","28","15.4","0.2459437037","2.92","","","","","","","","","",""
"fish","1","48","","Atlantic Cod","2","95","59.85","12.15329063","15.90","","","","","","","","","",""
"fish","1","49","","Atlantic Cod","2","64","40.32","3.7158912","7.47","","","","","","","","","",""
"fish","1","50","","Atlantic Cod","2","99","62.37","13.75398832","17.50","","","","","","","","","",""
"pond_summary","1","","","","","","","","","361.03","29.00","24","21","4","1","","","",""
"fish","2","1","1","Pacific Sardine","1","21","13.02","0.1695204","2.84","","","","","","","","","",""
"fish","2","2","2","Atlantic Herring","1","35","19.25","0.4803587963","3.16","","","","","","","","","",""
"fish","2","3","3","Atlantic Herring","1","31","17.05","0.333769537","3.01","","","","","","","","","",""
"fish","2","4","4","Atlantic Herring","1","33","18.15","0.4026275","3.08","","","","","","","","","",""
"fish","2","5","5","Pacific Sardine","1","20","12.4","0.1464380952","2.82","","","","","","","","","",""
"fish","2","6","","Common Carp","1","29","21.75","0.5487525","3.10","","","","","","","","","",""
"fish","2","7","","Atlantic Cod","2","76","47.88","6.2224848","9.97","","","","","","","","","",""
"fish","2","8","","Atlantic Herring","1","28","15.4","0.2459437037","2.92","","","","","","","","","",""
"fish","2","9","","Atlantic Cod","2","100","63","14.175","17.93","","","","","","","","","",""
"fish","2","10","","Common Carp","1","46","34.5","2.19006","4.74","","","","","","","","","",""
"fish","2","11","","Atlantic Cod","2","37","23.31","0.718006275","4.47","","","","","","","","","",""
"fish","2","12","","Atlantic Herring","1","31","17.05","0.333769537","3.01","","","","","","","","","",""
"fish","2","13","","Atlantic Cod","2","66","41.58","4.0752558","7.83","","","","","","","","","",""
"fish","2","14","","Atlantic Cod","2","94","59.22","11.7735282","15.52","","","","","","","","","",""
"fish","2","15","","Pacific Sardine","1","25","15.5","0.2860119048","2.96","","","","","","","","","",""
"fish","2","16","","Atlantic Herring","1","32","17.6","0.367122963","3.04","","","","","","","","","",""
"fish","2","17","","Atlantic Cod","2","97","61.11","12.93713977","16.69","","","","","","","","","",""
"fish","2","18","","Atlantic Cod","2","52","32.76","1.9931184","5.74","","","","","","","","","",""
"fish","2","19","","Pacific Sardine","1","22","13.64","0.1949091048","2.87","","","","","","","","","",""
"fish","2","20","","Atlantic Cod","2","60","37.8","3.0618","6.81","","","","","","","","","",""
"fish","2","21","","Common Carp","1","31","23.25","0.6702975","3.22","","","","","","","","","",""
"fish","2","22","","Atlantic Cod","2","54","34.02","2.2320522","5.98","","","","","","","","","",""
"fish","2","23","","Atlantic Cod","2","62","39.06","3.3782994","7.13","","","","","","","","","",""
"fish","2","24","","Pacific Sardine","1","25","15.5","0.2860119048","2.96","","","","","","","","","",""
"fish","2","25","","Tuna","3","101","72.72","19.07528709","28.20","","","","","","","","","",""
"fish","2","26","","Atlantic Herring","1","29","15.95","0.2732471296","2.95","","","","","","","","","",""
"fish","2","27","","Atlantic Cod","2","68","42.84","4.4570736","8.21","","","","","","","","","",""
"fish","2","28","","Pacific Sardine","1","23","14.26","0.2227140381","2.90","","","","","","","","","",""
"fish","2","29","","Bluefish","3","62","39.68","3.486398171","12.61","","","","","","","","","",""
"fish","2","30","","Lanternfish","4","12","6","0.018","26.52","","","","","","","","","",""
"fish","2","31","","Pacific Sardine","1","22","13.64","0.1949091048","2.87","","","","","","","","","",""
"fish","2","32","","Atlantic Cod","2","45","28.35","1.291696875","5.04","","","","","","","","","",""
"fish","2","33","","Common Carp","1","44","33","1.91664","4.47","","","","","","","","","",""
"fish","2","34","","Atlantic Cod","2","85","53.55","8.705221875","12.46","","","","","","","","","",""
"fish","2","35","","Common Carp","1","47","35.25","2.3360175","4.89","","","","","","","","","",""
"fish","2","36","","Common Carp","1","41","30.75","1.5507225","4.10","","","","","","","","","",""
"fish","2","37","","Atlantic Herring","1","31","17.05","0.333769537","3.01","","","","","","","","","",""
"fish","2","38","","Tuna","3","106","76.32","22.05081051","31.18","","","","","","","","","",""
"fish","2","39","","Atlantic Herring","1","32","17.6","0.367122963","3.04","","","","","","","","","",""
"fish","2","40","","Atlantic Cod","2","82","51.66","7.8156414","11.57","","","","","","","","","",""
"fish","2","41","","Pacific Sardine","1","22","13.64","0.1949091048","2.87","","","","","","","","","",""
"fish","2","42","","Pacific Sardine","1","18","11.16","0.1067533714","2.78","","","","","","","","","",""
"fish","2","43","","Atlantic Herring","1","28","15.4","0.2459437037","2.92","","","","","","","","","",""
"fish","2","44","","Atlantic Herring","1","31","17.05","0.333769537","3.01","","","","","","","","","",""
"fish","2","45","","Atlantic Herring","1","25","13.75","0.1750578704","2.85","","","","","","","","","",""
"fish","2","46","","Atlantic Cod","2","42","26.46","1.0501974","4.80","","","","","","","","","",""
"fish","2","47","","Tuna","3","73","52.56","7.202371886","16.33","","","","","","","","","",""
"fish","2","48","","Atlantic Cod","2","74","46.62","5.7440502","9.49","","","","","","","","","",""
"fish","2","49","","Atlantic Cod","2","72","45.36","5.2907904","9.04","","","","","","","","","",""
"fish","2","50","","Pacific Sardine","1","20","12.4","0.1464380952","2.82","","","","","","","","","",""
"pond_summary","2","","","","","","","","","362.73","14.91","28","17","4","1","","","",""
"fish","3","1","1","Common Carp","1","41","30.75","1.5507225","4.10","","","","","","","","","",""
"fish","3","2","2","Tuna","3","61","43.92","4.202391086","13.33","","","","","","","","","",""
"fish","3","3","3","Lanternfish","4","12","6","0.018","26.52","","","","","","","","","",""
"fish","3","4","4","Common Carp","1","26","19.5","0.39546","2.95","","","","","","","","","",""
"fish","3","5","5","Bluefish","3","88","56.32","9.968961829","19.09","","","","","","","","","",""
"fish","3","6","","Atlantic Herring","1","33","18.15","0.4026275","3.08","","","","","","","","","",""
"fish","3","7","","Atlantic Herring","1","31","17.05","0.333769537","3.01","","","","","","","","","",""
"fish","3","8","","Atlantic Herring","1","25","13.75","0.1750578704","2.85","","","","","","","","","",""
"fish","3","9","","Pacific Sardine","1","23","14.26","0.2227140381","2.90","","","","","","","","","",""
"fish","3","10","","Atlantic Cod","2","79","49.77","6.988827825","10.74","","","","","","","","","",""
"fish","3","11","","Common Carp","1","35","26.25","0.9646875","3.51","","","","","","","","","",""
"fish","3","12","","Lanternfish","4","7","3.5","0.003572916667","26.50","","","","","","","","","",""
"fish","3","13","","Atlantic Cod","2","70","44.1","4.862025","8.61","","","","","","","","","",""
"fish","3","14","","Atlantic Cod","2","65","40.95","3.892809375","7.64","","","","","","","","","",""
"fish","3","15","","Atlantic Cod","2","65","40.95","3.892809375","7.64","","","","","","","","","",""
"fish","3","16","","Atlantic Herring","1","25","13.75","0.1750578704","2.85","","","","","","","","","",""
"fish","3","17","","Tuna","3","74","53.28","7.502432914","16.63","","","","","","","","","",""
"fish","3","18","","Atlantic Cod","2","82","51.66","7.8156414","11.57","","","","","","","","","",""
"fish","3","19","","Tuna","3","80","57.6","9.479314286","18.60","","","","","","","","","",""
"fish","3","20","","Atlantic Herring","1","29","15.95","0.2732471296","2.95","","","","","","","","","",""
"fish","3","21","","Atlantic Cod","2","71","44.73","5.073388425","8.82","","","","","","","","","",""
"fish","3","22","","Pacific Sardine","1","22","13.64","0.1949091048","2.87","","","","","","","","","",""
"fish","3","23","","Atlantic Cod","2","69","43.47","4.656615075","8.41","","","","","","","","","",""
"fish","3","24","","Common Carp","1","41","30.75","1.5507225","4.10","","","","","","","","","",""
"fish","3","25","","Atlantic Herring","1","28","15.4","0.2459437037","2.92","","","","","","","","","",""
"fish","3","26","","Atlantic Herring","1","31","17.05","0.333769537","3.01","","","","","","","","","",""
"fish","3","27","","Atlantic Cod","2","65","40.95","3.892809375","7.64","","","","","","","","","",""
"fish","3","28","","Atlantic Cod","2","59","37.17","2.911247325","6.66","","","","","","","","","",""
"fish","3","29","","Atlantic Herring","1","29","15.95","0.2732471296","2.95","","","","","","","","","",""
"fish","3","30","","Bluefish","3","58","37.12","2.854209829","11.98","","","","","","","","","",""
"fish","3","31","","Common Carp","1","31","23.25","0.6702975","3.22","","","","","","","","","",""
"fish","3","32","","Pacific Sardine","1","19","11.78","0.1255523619","2.80","","","","","","","","","",""
"fish","3","33","","Atlantic Cod","2","63","39.69","3.544416225","7.29","","","","","","","","","",""
"fish","3","34","","Tuna","3","96","69.12","16.38025509","25.51","","","","","","","","","",""
"fish","3","35","","Atlantic Herring","1","31","17.05","0.333769537","3.01","","","","","","","","","",""
"fish","3","36","","Tuna","3","111","79.92","25.32071109","34.45","","","","","","","","","",""
"fish","3","37","","Atlantic Herring","1","32","17.6","0.367122963","3.04","","","","","","","","","",""
"fish","3","38","","Common Carp","1","41","30.75","1.5507225","4.10","","","","","","","","","",""
"fish","3","39","","Common Carp","1","25","18.75","0.3515625","2.90","","","","","","","","","",""
"fish","3","40","","Atlantic Cod","2","35","22.05","0.607753125","4.36","","","","","","","","","",""
"fish","3","41","","Atlantic Herring","1","27","14.85","0.2205225","2.90","","","","","","","","","",""
"fish","3","42","","Bluefish","3","77","49.28","6.6784256","15.80","","","","","","","","","",""
"fish","3","43","","Bluefish","3","39","24.96","0.8677522286","9.99","","","","","","","","","",""
"fish","3","44","","Atlantic Cod","2","76","47.88","6.2224848","9.97","","","","","","","","","",""
"fish","3","45","","Atlantic Cod","2","45","28.35","1.291696875","5.04","","","","","","","","","",""
"fish","3","46","","Atlantic Cod","2","89","56.07","9.992935575","13.74","","","","","","","","","",""
"fish","3","47","","Common Carp","1","48","36","2.48832","5.04","","","","","","","","","",""
"fish","3","48","","Pacific Sardine","1","21","13.02","0.1695204","2.84","","","","","","","","","",""
"fish","3","49","","Tuna","3","43","30.96","1.472015314","10.60","","","","","","","","","",""
"fish","3","50","","Common Carp","1","54","40.5","3.54294","6.09","","","","","","","","","",""
"pond_summary","3","","","","","","","","","427.12","65.99","24","14","10","2","","","",""
"fish","4","1","1","Atlantic Herring","1","35","19.25","0.4803587963","3.16","","","","","","","","","",""
"fish","4","2","2","Common Carp","1","49","36.75","2.6471025","5.20","","","","","","","","","",""
"fish","4","3","3","Atlantic Herring","1","29","15.95","0.2732471296","2.95","","","","","","","","","",""
"fish","4","4","4","Atlantic Herring","1","31","17.05","0.333769537","3.01","","","","","","","","","",""
"fish","4","5","5","Common Carp","1","46","34.5","2.19006","4.74","","","","","","","","","",""
"fish","4","6","","Common Carp","1","36","27","1.04976","3.60","","","","","","","","","",""
"fish","4","7","","Tuna","3","56","40.32","3.2514048","12.38","","","","","","","","","",""
"fish","4","8","","Lanternfish","4","8","4","0.005333333333","26.51","","","","","","","","","",""
"fish","4","9","","Tuna","3","60","43.2","3.999085714","13.12","","","","","","","","","",""
"fish","4","10","","Common Carp","1","36","27","1.04976","3.60","","","","","","","","","",""
"fish","4","11","","Pacific Sardine","1","25","15.5","0.2860119048","2.96","","","","","","","","","",""
"fish","4","12","","Atlantic Cod","2","100","63","14.175","17.93","","","","","","","","","",""
"fish","4","13","","Common Carp","1","25","18.75","0.3515625","2.90","","","","","","","","","",""
"fish","4","14","","Atlantic Cod","2","69","43.47","4.656615075","8.41","","","","","","","","","",""
"fish","4","15","","Common Carp","1","37","27.75","1.1396925","3.69","","","","","","","","","",""
"fish","4","16","","Pacific Sardine","1","25","15.5","0.2860119048","2.96","","","","","","","","","",""
"fish","4","17","","Atlantic Herring","1","29","15.95","0.2732471296","2.95","","","","","","","","","",""
"fish","4","18","","Tuna","3","80","57.6","9.479314286","18.60","","","","","","","","","",""
"fish","4","19","","Common Carp","1","32","24","0.73728","3.29","","","","","","","","","",""
"fish","4","20","","Pacific Sardine","1","18","11.16","0.1067533714","2.78","","","","","","","","","",""
"fish","4","21","","Common Carp","1","27","20.25","0.4428675","2.99","","","","","","","","","",""
"fish","4","22","","Atlantic Herring","1","27","14.85","0.2205225","2.90","","","","","","","","","",""
"fish","4","23","","Atlantic Cod","2","67","42.21","4.263315525","8.01","","","","","","","","","",""
"fish","4","24","","Atlantic Cod","2","36","22.68","0.6613488","4.41","","","","","","","","","",""
"fish","4","25","","Atlantic Cod","2","86","54.18","9.0160938","12.77","","","","","","","","","",""
"fish","4","26","","Atlantic Cod","2","90","56.7","10.333575","14.08","","","","","","","","","",""
"fish","4","27","","Atlantic Cod","2","35","22.05","0.607753125","4.36","","","","","","","","","",""
"fish","4","28","","Pacific Sardine","1","19","11.78","0.1255523619","2.80","","","","","","","","","",""
"fish","4","29","","Atlantic Herring","1","32","17.6","0.367122963","3.04","","","","","","","","","",""
"fish","4","30","","Lanternfish","4","8","4","0.005333333333","26.51","","","","","","","","","",""
"fish","4","31","","Pacific Sardine","1","25","15.5","0.2860119048","2.96","","","","","","","","","",""
"fish","4","32","","Atlantic Cod","2","87","54.81","9.334280025","13.08","","","","","","","","","",""
"fish","4","33","","Tuna","3","65","46.8","5.084485714","14.21","","","","","","","","","",""
"fish","4","34","","Atlantic Cod","2","89","56.07","9.992935575","13.74","","","","","","","","","",""
"fish","4","35","","Atlantic Herring","1","34","18.7","0.4403503704","3.12","","","","","","","","","",""
"fish","4","36","","Common Carp","1","34","25.5","0.88434","3.43","","","","","","","","","",""
"fish","4","37","","Pacific Sardine","1","22","13.64","0.1949091048","2.87","","","","","","","","","",""
"fish","4","38","","Atlantic Cod","2","75","47.25","5.980078125","9.73","","","","","","","","","",""
"fish","4","39","","Atlantic Cod","2","92","57.96","11.0379024","14.79","","","","","","","","","",""
"fish","4","40","","Common Carp","1","32","24","0.73728","3.29","","","","","","","","","",""
"fish","4","41","","Tuna","3","89","64.08","13.05199749","22.18","","","","","","","","","",""
"fish","4","42","","Pacific Sardine","1","22","13.64","0.1949091048","2.87","","","","","","","","","",""
"fish","4","43","","Atlantic Cod","2","92","57.96","11.0379024","14.79","","","","","","","","","",""
"fish","4","44","","Common Carp","1","27","20.25","0.4428675","2.99","","","","","","","","","",""
"fish","4","45","","Pacific Sardine","1","19","11.78","0.1255523619","2.80","","","","","","","","","",""
"fish","4","46","","Pacific Sardine","1","18","11.16","0.1067533714","2.78","","","","","","","","","",""
"fish","4","47","","Bluefish","3","81","51.84","7.774222629","16.90","","","","","","","","","",""
"fish","4","48","","Atlantic Herring","1","35","19.25","0.4803587963","3.16","","","","","","","","","",""
"fish","4","49","","Lanternfish","4","10","5","0.01041666667","26.51","","","","","","","","","",""
"fish","4","50","","Pacific Sardine","1","21","13.02","0.1695204","2.84","","","","","","","","","",""
"pond_summary","4","","","","","","","","","405.65","19.06","29","12","6","3","","","",""
"fish","5","1","1","Lanternfish","4","10","5","0.01041666667","26.51","","","","","","","","","",""
"fish","5","2","2","Atlantic Herring","1","33","18.15","0.4026275","3.08","","","","","","","","","",""
"fish","5","3","3","Atlantic Herring","1","33","18.15","0.4026275","3.08","","","","","","","","","",""
"fish","5","4","4","Atlantic Cod","2","49","30.87","1.667674575","5.42","","","","","","","","","",""
"fish","5","5","5","Atlantic Cod","2","93","58.59","11.40176048","15.15","","","","","","","","","",""
"fish","5","6","","Common Carp","1","42","31.5","1.66698","4.22","","","","","","","","","",""
"fish","5","7","","Atlantic Cod","2","47","29.61","1.471691025","5.22","","","","","","","","","",""
"fish","5","8","","Pacific Sardine","1","22","13.64","0.1949091048","2.87","","","","","","","","","",""
"fish","5","9","","Common Carp","1","27","20.25","0.4428675","2.99","","","","","","","","","",""
"fish","5","10","","Atlantic Cod","2","68","42.84","4.4570736","8.21","","","","","","","","","",""
"fish","5","11","","Atlantic Herring","1","33","18.15","0.4026275","3.08","","","","","","","","","",""
"fish","5","12","","Tuna","3","115","82.8","28.15791429","37.28","","","","","","","","","",""
"fish","5","13","","Tuna","3","93","66.96","14.89209531","24.02","","","","","","","","","",""
"fish","5","14","","Pacific Sardine","1","19","11.78","0.1255523619","2.80","","","","","","","","","",""
"fish","5","15","","Pacific Sardine","1","24","14.88","0.2530450286","2.93","","","","","","","","","",""
"fish","5","16","","Atlantic Herring","1","34","18.7","0.4403503704","3.12","","","","","","","","","",""
"fish","5","17","","Common Carp","1","37","27.75","1.1396925","3.69","","","","","","","","","",""
"fish","5","18","","Pacific Sardine","1","22","13.64","0.1949091048","2.87","","","","","","","","","",""
"fish","5","19","","Common Carp","1","43","32.25","1.7889075","4.34","","","","","","","","","",""
"fish","5","20","","Common Carp","1","38","28.5","1.23462","3.78","","","","","","","","","",""
"fish","5","21","","Common Carp","1","33","24.75","0.8085825","3.36","","","","","","","","","",""
"fish","5","22","","Atlantic Cod","2","37","23.31","0.718006275","4.47","","","","","","","","","",""
"fish","5","23","","Atlantic Cod","2","46","28.98","1.3797378","5.13","","","","","","","","","",""
"fish","5","24","","Pacific Sardine","1","24","14.88","0.2530450286","2.93","","","","","","","","","",""
"fish","5","25","","Common Carp","1","48","36","2.48832","5.04","","","","","","","","","",""
"fish","5","26","","Atlantic Cod","2","70","44.1","4.862025","8.61","","","","","","","","","",""
"fish","5","27","","Atlantic Herring","1","33","18.15","0.4026275","3.08","","","","","","","","","",""
"fish","5","28","","Pacific Sardine","1","25","15.5","0.2860119048","2.96","","","","","","","","","",""
"fish","5","29","","Common Carp","1","52","39","3.16368","5.71","","","","","","","","","",""
"fish","5","30","","Common Carp","1","37","27.75","1.1396925","3.69","","","","","","","","","",""
"fish","5","31","","Pacific Sardine","1","25","15.5","0.2860119048","2.96","","","","","","","","","",""
"fish","5","32","","Lanternfish","4","5","2.5","0.001302083333","26.50","","","","","","","","","",""
"fish","5","33","","Common Carp","1","45","33.75","2.0503125","4.60","","","","","","","","","",""
"fish","5","34","","Bluefish","3","84","53.76","8.6704128","17.80","","","","","","","","","",""
"fish","5","35","","Atlantic Herring","1","31","17.05","0.333769537","3.01","","","","","","","","","",""
"fish","5","36","","Atlantic Herring","1","35","19.25","0.4803587963","3.16","","","","","","","","","",""
"fish","5","37","","Atlantic Herring","1","33","18.15","0.4026275","3.08","","","","","","","","","",""
"fish","5","38","","Common Carp","1","48","36","2.48832","5.04","","","","","","","","","",""
"fish","5","39","","Lanternfish","4","6","3","0.00225","26.50","","","","","","","","","",""
"fish","5","40","","Common Carp","1","43","32.25","1.7889075","4.34","","","","","","","","","",""
"fish","5","41","","Pacific Sardine","1","19","11.78","0.1255523619","2.80","","","","","","","","","",""
"fish","5","42","","Lanternfish","4","9","4.5","0.00759375","26.51","","","","","","","","","",""
"fish","5","43","","Common Carp","1","54","40.5","3.54294","6.09","","","","","","","","","",""
"fish","5","44","","Atlantic Cod","2","42","26.46","1.0501974","4.80","","","","","","","","","",""
"fish","5","45","","Pacific Sardine","1","20","12.4","0.1464380952","2.82","","","","","","","","","",""
"fish","5","46","","Atlantic Herring","1","27","14.85","0.2205225","2.90","","","","","","","","","",""
"fish","5","47","","Pacific Sardine","1","21","13.02","0.1695204","2.84","","","","","","","","","",""
"fish","5","48","","Pacific Sardine","1","23","14.26","0.2227140381","2.90","","","","","","","","","",""
"fish","5","49","","Atlantic Herring","1","34","18.7","0.4403503704","3.12","","","","","","","","","",""
"fish","5","50","","Common Carp","1","29","21.75","0.5487525","3.10","","","","","","","","","",""
"pond_summary","5","","","","","","","","","364.51","53.24","35","8","3","4","","","",""
"fish","6","1","1","Pacific Sardine","1","23","14.26","0.2227140381","2.90","","","","","","","","","",""
"fish","6","2","2","Pacific Sardine","1","18","11.16","0.1067533714","2.78","","","","","","","","","",""
"fish","6","3","3","Bluefish","3","40","25.6","0.9362285714","10.06","","","","","","","","","",""
"fish","6","4","4","Atlantic Herring","1","30","16.5","0.3025","2.98","","","","","","","","","",""
"fish","6","5","5","Pacific Sardine","1","20","12.4","0.1464380952","2.82","","","","","","","","","",""
"fish","6","6","","Pacific Sardine","1","24","14.88","0.2530450286","2.93","","","","","","","","","",""
"fish","6","7","","Common Carp","1","50","37.5","2.8125","5.36","","","","","","","","","",""
"fish","6","8","","Atlantic Herring","1","34","18.7","0.4403503704","3.12","","","","","","","","","",""
"fish","6","9","","Common Carp","1","55","41.25","3.7434375","6.29","","","","","","","","","",""
"fish","6","10","","Tuna","3","109","78.48","23.97653691","33.10","","","","","","","","","",""
"fish","6","11","","Pacific Sardine","1","21","13.02","0.1695204","2.84","","","","","","","","","",""
"fish","6","12","","Atlantic Cod","2","74","46.62","5.7440502","9.49","","","","","","","","","",""
"fish","6","13","","Atlantic Herring","1","32","17.6","0.367122963","3.04","","","","","","","","","",""
"fish","6","14","","Pacific Sardine","1","23","14.26","0.2227140381","2.90","","","","","","","","","",""
"fish","6","15","","Atlantic Cod","2","60","37.8","3.0618","6.81","","","","","","","","","",""
"fish","6","16","","Common Carp","1","41","30.75","1.5507225","4.10","","","","","","","","","",""
"fish","6","17","","Common Carp","1","47","35.25","2.3360175","4.89","","","","","","","","","",""
"fish","6","18","","Pacific Sardine","1","22","13.64","0.1949091048","2.87","","","","","","","","","",""
"fish","6","19","","Common Carp","1","27","20.25","0.4428675","2.99","","","","","","","","","",""
"fish","6","20","","Atlantic Cod","2","52","32.76","1.9931184","5.74","","","","","","","","","",""
"fish","6","21","","Atlantic Cod","2","83","52.29","8.105080725","11.86","","","","","","","","","",""
"fish","6","22","","Atlantic Cod","2","97","61.11","12.93713977","16.69","","","","","","","","","",""
"fish","6","23","","Atlantic Cod","2","74","46.62","5.7440502","9.49","","","","","","","","","",""
"fish","6","24","","Pacific Sardine","1","21","13.02","0.1695204","2.84","","","","","","","","","",""
"fish","6","25","","Pacific Sardine","1","19","11.78","0.1255523619","2.80","","","","","","","","","",""
"fish","6","26","","Atlantic Herring","1","30","16.5","0.3025","2.98","","","","","","","","","",""
"fish","6","27","","Common Carp","1","55","41.25","3.7434375","6.29","","","","","","","","","",""
"fish","6","28","","Pacific Sardine","1","25","15.5","0.2860119048","2.96","","","","","","","","","",""
"fish","6","29","","Atlantic Herring","1","29","15.95","0.2732471296","2.95","","","","","","","","","",""
"fish","6","30","","Pacific Sardine","1","22","13.64","0.1949091048","2.87","","","","","","","","","",""
"fish","6","31","","Common Carp","1","31","23.25","0.6702975","3.22","","","","","","","","","",""
"fish","6","32","","Pacific Sardine","1","23","14.26","0.2227140381","2.90","","","","","","","","","",""
"fish","6","33","","Atlantic Herring","1","31","17.05","0.333769537","3.01","","","","","","","","","",""
"fish","6","34","","Atlantic Herring","1","26","14.3","0.1969162963","2.87","","","","","","","","","",""
"fish","6","35","","Tuna","3","101","72.72","19.07528709","28.20","","","","","","","","","",""
"fish","6","36","","Pacific Sardine","1","21","13.02","0.1695204","2.84","","","","","","","","","",""
"fish","6","37","","Atlantic Herring","1","35","19.25","0.4803587963","3.16","","","","","","","","","",""
"fish","6","38","","Atlantic Cod","2","97","61.11","12.93713977","16.69","","","","","","","","","",""
"fish","6","39","","Pacific Sardine","1","20","12.4","0.1464380952","2.82","","","","","","","","","",""
"fish","6","40","","Atlantic Herring","1","28","15.4","0.2459437037","2.92","","","","","","","","","",""
"fish","6","41","","Common Carp","1","53","39.75","3.3497325","5.90","","","","","","","","","",""
"fish","6","42","","Pacific Sardine","1","20","12.4","0.1464380952","2.82","","","","","","","","","",""
"fish","6","43","","Atlantic Cod","2","81","51.03","7.533176175","11.28","","","","","","","","","",""
"fish","6","44","","Atlantic Herring","1","34","18.7","0.4403503704","3.12","","","","","","","","","",""
