record_type,run,pond_position,caught_order,species,rarity,length_cm,girth_cm,weight_kg,price,pond_total_value,caught_total_value,rarity_1_count,rarity_2_count,rarity_3_count,rarity_4_count,pond_value_min,pond_value_average,pond_value_max,seed
"fish","1","49","","Atlantic Herring","1","32","17.6","0.367122963","0.74","","","","","","","","","",""
"fish","1","50","","Pacific Sardine","1","25","15.5","0.2860119048","0.66","","","","","","","","","",""
"pond_summary","1","","","","","","","","","158.13","40.10","33","13","4","0","","","",""
"fish","2","1","1","Atlantic Herring","1","26","14.3","0.1969162963","0.57","","","","","","","","","",""
"fish","2","2","2","Atlantic Cod","2","99","62.37","13.75398832","14.50","","","","","","","","","",""
"fish","2","3","3","Atlantic Cod","2","62","39.06","3.3782994","4.13","","","","","","","","","",""
"fish","2","4","4","Atlantic Herring","1","33","18.15","0.4026275","0.78","","","","","","","","","",""
"fish","2","5","5","Pacific Sardine","1","21","13.02","0.1695204","0.54","","","","","","","","","",""
"fish","2","6","","Atlantic Cod","2","44","27.72","1.2074832","1.96","","","","","","","","","",""
"fish","2","7","","Atlantic Cod","2","54","34.02","2.2320522","2.98","","","","","","","","","",""
"fish","2","8","","Atlantic Herring","1","28","15.4","0.2459437037","0.62","","","","","","","","","",""
"fish","2","9","","Common Carp","1","37","27.75","1.1396925","1.39","","","","","","","","","",""
"fish","2","10","","Bluefish","3","73","46.72","5.690762971","6.82","","","","","","","","","",""
"fish","2","11","","Atlantic Cod","2","60","37.8","3.0618","3.81","","","","","","","","","",""
"fish","2","12","","Atlantic Herring","1","31","17.05","0.333769537","0.71","","","","","","","","","",""
"fish","2","13","","Atlantic Herring","1","33","18.15","0.4026275","0.78","","","","","","","","","",""
"fish","2","14","","Atlantic Herring","1","34","18.7","0.4403503704","0.82","","","","","","","","","",""
"fish","2","15","","Common Carp","1","33","24.75","0.8085825","1.06","","","","","","","","","",""
"fish","2","16","","Atlantic Herring","1","32","17.6","0.367122963","0.74","","","","","","","","","",""
"fish","2","17","","Common Carp","1","44","33","1.91664","2.17","","","","","","","","","",""
"fish","2","18","","Bluefish","3","49","31.36","1.7210368","2.85","","","","","","","","","",""
"fish","2","19","","Atlantic Herring","1","32","17.6","0.367122963","0.74","","","","","","","","","",""
"fish","2","20","","Atlantic Cod","2","60","37.8","3.0618","3.81","","","","","","","","","",""
"fish","2","21","","Pacific Sardine","1","23","14.26","0.2227140381","0.60","","","","","","","","","",""
"fish","2","22","","Atlantic Cod","2","54","34.02","2.2320522","2.98","","","","","","","","","",""
"fish","2","23","","Atlantic Herring","1","28","15.4","0.2459437037","0.62","","","","","","","","","",""
"fish","2","24","","Pacific Sardine","1","25","15.5","0.2860119048","0.66","","","","","","","","","",""
"fish","2","25","","Common Carp","1","28","21","0.49392","0.74","","","","","","","","","",""
"fish","2","26","","Atlantic Herring","1","29","15.95","0.2732471296","0.65","","","","","","","","","",""
"fish","2","27","","Atlantic Cod","2","52","32.76","1.9931184","2.74","","","","","","","","","",""
"fish","2","28","","Atlantic Cod","2","81","51.03","7.533176175","8.28","","","","","","","","","",""
"fish","2","29","","Atlantic Herring","1","35","19.25","0.4803587963","0.86","","","","","","","","","",""
"fish","2","30","","Common Carp","1","47","35.25","2.3360175","2.59","","","","","","","","","",""
"fish","2","31","","Atlantic Herring","1","33","18.15","0.4026275","0.78","","","","","","","","","",""
"fish","2","32","","Pacific Sardine","1","19","11.78","0.1255523619","0.50","","","","","","","","","",""
"fish","2","33","","Atlantic Cod","2","76","47.88","6.2224848","6.97","","","","","","","","","",""
"fish","2","34","","Atlantic Cod","2","85","53.55","8.705221875","9.46","","","","","","","","","",""
"fish","2","35","","Atlantic Cod","2","46","28.98","1.3797378","2.13","","","","","","","","","",""
"fish","2","36","","Common Carp","1","41","30.75","1.5507225","1.80","","","","","","","","","",""
"fish","2","37","","Atlantic Herring","1","35","19.25","0.4803587963","0.86","","","","","","","","","",""
"fish","2","38","","Pacific Sardine","1","25","15.5","0.2860119048","0.66","","","","","","","","","",""
"fish","2","39","","Common Carp","1","46","34.5","2.19006","2.44","","","","","","","","","",""
"fish","2","40","","Atlantic Herring","1","32","17.6","0.367122963","0.74","","","","","","","","","",""
"fish","2","41","","Atlantic Herring","1","30","16.5","0.3025","0.68","","","","","","","","","",""
"fish","2","42","","Atlantic Cod","2","40","25.2","0.9072","1.66","","","","","","","","","",""
"fish","2","43","","Pacific Sardine","1","19","11.78","0.1255523619","0.50","","","","","","","","","",""
"fish","2","44","","Atlantic Herring","1","31","17.05","0.333769537","0.71","","","","","","","","","",""
"fish","2","45","","Pacific Sardine","1","23","14.26","0.2227140381","0.60","","","","","","","","","",""
"fish","2","46","","Atlantic Herring","1","26","14.3","0.1969162963","0.57","","","","","","","","","",""
"fish","2","47","","Atlantic Herring","1","31","17.05","0.333769537","0.71","","","","","","","","","",""
"fish","2","48","","Atlantic Cod","2","74","46.62","5.7440502","6.49","","","","","","","","","",""
"fish","2","49","","Bluefish","3","43","27.52","1.163073829","2.29","","","","","","","","","",""
"fish","2","50","","Atlantic Cod","2","59","37.17","2.911247325","3.66","","","","","","","","","",""
"pond_summary","2","","","","","","","","","116.71","20.52","32","15","3","0","","","",""
"fish","3","1","1","Atlantic Herring","1","35","19.25","0.4803587963","0.86","","","","","","","","","",""
"fish","3","2","2","Pacific Sardine","1","20","12.4","0.1464380952","0.52","","","","","","","","","",""
"fish","3","3","3","Lanternfish","4","7","3.5","0.003572916667","1.50","","","","","","","","","",""
"fish","3","4","4","Bluefish","3","37","23.68","0.7409810286","1.87","","","","","","","","","",""
"fish","3","5","5","Atlantic Cod","2","36","22.68","0.6613488","1.41","","","","","","","","","",""
"fish","3","6","","Bluefish","3","79","50.56","7.212456229","8.34","","","","","","","","","",""
"fish","3","7","","Atlantic Cod","2","45","28.35","1.291696875","2.04","","","","","","","","","",""
"fish","3","8","","Atlantic Herring","1","25","13.75","0.1750578704","0.55","","","","","","","","","",""
"fish","3","9","","Atlantic Herring","1","31","17.05","0.333769537","0.71","","","","","","","","","",""
"fish","3","10","","Common Carp","1","45","33.75","2.0503125","2.30","","","","","","","","","",""
"fish","3","11","","Atlantic Herring","1","35","19.25","0.4803587963","0.86","","","","","","","","","",""
"fish","3","12","","Atlantic Cod","2","50","31.5","1.771875","2.52","","","","","","","","","",""
"fish","3","13","","Atlantic Cod","2","84","52.92","8.4015792","9.15","","","","","","","","","",""
"fish","3","14","","Atlantic Cod","2","65","40.95","3.892809375","4.64","","","","","","","","","",""
"fish","3","15","","Atlantic Cod","2","35","22.05","0.607753125","1.36","","","","","","","","","",""
"fish","3","16","","Atlantic Cod","2","37","23.31","0.718006275","1.47","","","","","","","","","",""
"fish","3","17","","Atlantic Herring","1","32","17.6","0.367122963","0.74","","","","","","","","","",""
"fish","3","18","","Pacific Sardine","1","23","14.26","0.2227140381","0.60","","","","","","","","","",""
"fish","3","19","","Atlantic Herring","1","31","17.05","0.333769537","0.71","","","","","","","","","",""
"fish","3","20","","Atlantic Herring","1","29","15.95","0.2732471296","0.65","","","","","","","","","",""
"fish","3","21","","Atlantic Herring","1","27","14.85","0.2205225","0.60","","","","","","","","","",""
"fish","3","22","","Pacific Sardine","1","22","13.64","0.1949091048","0.57","","","","","","","","","",""
"fish","3","23","","Atlantic Herring","1","25","13.75","0.1750578704","0.55","","","","","","","","","",""
"fish","3","24","","Atlantic Cod","2","70","44.1","4.862025","5.61","","","","","","","","","",""
"fish","3","25","","Atlantic Herring","1","29","15.95","0.2732471296","0.65","","","","","","","","","",""
"fish","3","26","","Atlantic Herring","1","31","17.05","0.333769537","0.71","","","","","","","","","",""
"fish","3","27","","Atlantic Herring","1","32","17.6","0.367122963","0.74","","","","","","","","","",""
"fish","3","28","","Atlantic Cod","2","59","37.17","2.911247325","3.66","","","","","","","","","",""
"fish","3","29","","Atlantic Herring","1","34","18.7","0.4403503704","0.82","","","","","","","","","",""
"fish","3","30","","Common Carp","1","37","27.75","1.1396925","1.39","","","","","","","","","",""
"fish","3","31","","Pacific Sardine","1","20","12.4","0.1464380952","0.52","","","","","","","","","",""
"fish","3","32","","Atlantic Cod","2","50","31.5","1.771875","2.52","","","","","","","","","",""
"fish","3","33","","Atlantic Herring","1","35","19.25","0.4803587963","0.86","","","","","","","","","",""
"fish","3","34","","Atlantic Herring","1","33","18.15","0.4026275","0.78","","","","","","","","","",""
"fish","3","35","","Atlantic Cod","2","97","61.11","12.93713977","13.69","","","","","","","","","",""
"fish","3","36","","Pacific Sardine","1","25","15.5","0.2860119048","0.66","","","","","","","","","",""
"fish","3","37","","Common Carp","1","30","22.5","0.6075","0.86","","","","","","","","","",""
"fish","3","38","","Common Carp","1","41","30.75","1.5507225","1.80","","","","","","","","","",""
"fish","3","39","","Atlantic Cod","2","89","56.07","9.992935575","10.74","","","","","","","","","",""
"fish","3","40","","Atlantic Cod","2","35","22.05","0.607753125","1.36","","","","","","","","","",""
"fish","3","41","","Pacific Sardine","1","25","15.5","0.2860119048","0.66","","","","","","","","","",""
"fish","3","42","","Atlantic Herring","1","33","18.15","0.4026275","0.78","","","","","","","","","",""
"fish","3","43","","Tuna","3","104","74.88","20.82605349","21.95","","","","","","","","","",""
"fish","3","44","","Common Carp","1","44","33","1.91664","2.17","","","","","","","","","",""
"fish","3","45","","Tuna","3","90","64.8","13.49691429","14.62","","","","","","","","","",""
"fish","3","46","","Pacific Sardine","1","24","14.88","0.2530450286","0.63","","","","","","","","","",""
"fish","3","47","","Common Carp","1","29","21.75","0.5487525","0.80","","","","","","","","","",""
"fish","3","48","","Atlantic Cod","2","66","41.58","4.0752558","4.83","","","","","","","","","",""
"fish","3","49","","Pacific Sardine","1","20","12.4","0.1464380952","0.52","","","","","","","","","",""
"fish","3","50","","Atlantic Cod","2","97","61.11","12.93713977","13.69","","","","","","","","","",""
"pond_summary","3","","","","","","","","","152.54","6.16","30","15","4","1","","","",""
"fish","4","1","1","Common Carp","1","39","29.25","1.3346775","1.58","","","","","","","","","",""
"fish","4","2","2","Common Carp","1","49","36.75","2.6471025","2.90","","","","","","","","","",""
"fish","4","3","3","Atlantic Herring","1","29","15.95","0.2732471296","0.65","","","","","","","","","",""
"fish","4","4","4","Atlantic Herring","1","31","17.05","0.333769537","0.71","","","","","","","","","",""
"fish","4","5","5","Atlantic Cod","2","45","28.35","1.291696875","2.04","","","","","","","","","",""
"fish","4","6","","Common Carp","1","36","27","1.04976","1.30","","","","","","","","","",""
"fish","4","7","","Pacific Sardine","1","25","15.5","0.2860119048","0.66","","","","","","","","","",""
"fish","4","8","","Bluefish","3","51","32.64","1.940494629","3.07","","","","","","","","","",""
"fish","4","9","","Pacific Sardine","1","19","11.78","0.1255523619","0.50","","","","","","","","","",""
"fish","4","10","","Common Carp","1","36","27","1.04976","1.30","","","","","","","","","",""
"fish","4","11","","Common Carp","1","51","38.25","2.9846475","3.23","","","","","","","","","",""
"fish","4","12","","Atlantic Cod","2","100","63","14.175","14.93","","","","","","","","","",""
"fish","4","13","","Pacific Sardine","1","23","14.26","0.2227140381","0.60","","","","","","","","","",""
"fish","4","14","","Atlantic Cod","2","69","43.47","4.656615075","5.41","","","","","","","","","",""
"fish","4","15","","Atlantic Cod","2","71","44.73","5.073388425","5.82","","","","","","","","","",""
"fish","4","16","","Pacific Sardine","1","25","15.5","0.2860119048","0.66","","","","","","","","","",""
"fish","4","17","","Atlantic Herring","1","35","19.25","0.4803587963","0.86","","","","","","","","","",""
"fish","4","18","","Pacific Sardine","1","22","13.64","0.1949091048","0.57","","","","","","","","","",""
"fish","4","19","","Pacific Sardine","1","20","12.4","0.1464380952","0.52","","","","","","","","","",""
"fish","4","20","","Pacific Sardine","1","18","11.16","0.1067533714","0.48","","","","","","","","","",""
"fish","4","21","","Atlantic Cod","2","51","32.13","1.880327925","2.63","","","","","","","","","",""
"fish","4","22","","Atlantic Herring","1","27","14.85","0.2205225","0.60","","","","","","","","","",""
"fish","4","23","","Atlantic Herring","1","34","18.7","0.4403503704","0.82","","","","","","","","","",""
"fish","4","24","","Atlantic Herring","1","25","13.75","0.1750578704","0.55","","","","","","","","","",""
"fish","4","25","","Atlantic Cod","2","84","52.92","8.4015792","9.15","","","","","","","","","",""
"fish","4","26","","Atlantic Cod","2","90","56.7","10.333575","11.08","","","","","","","","","",""
"fish","4","27","","Atlantic Cod","2","46","28.98","1.3797378","2.13","","","","","","","","","",""
"fish","4","28","","Pacific Sardine","1","19","11.78","0.1255523619","0.50","","","","","","","","","",""
"fish","4","29","","Common Carp","1","55","41.25","3.7434375","3.99","","","","","","","","","",""
"fish","4","30","","Atlantic Herring","1","28","15.4","0.2459437037","0.62","","","","","","","","","",""
"fish","4","31","","Common Carp","1","48","36","2.48832","2.74","","","","","","","","","",""
"fish","4","32","","Atlantic Herring","1","33","18.15","0.4026275","0.78","","","","","","","","","",""
"fish","4","33","","Pacific Sardine","1","24","14.88","0.2530450286","0.63","","","","","","","","","",""
"fish","4","34","","Tuna","3","102","73.44","19.64750811","20.77","","","","","","","","","",""
"fish","4","35","","Atlantic Cod","2","68","42.84","4.4570736","5.21","","","","","","","","","",""
"fish","4","36","","Common Carp","1","34","25.5","0.88434","1.13","","","","","","","","","",""
"fish","4","37","","Atlantic Herring","1","32","17.6","0.367122963","0.74","","","","","","","","","",""
"fish","4","38","","Atlantic Cod","2","75","47.25","5.980078125","6.73","","","","","","","","","",""
"fish","4","39","","Atlantic Cod","2","59","37.17","2.911247325","3.66","","","","","","","","","",""
"fish","4","40","","Bluefish","3","48","30.72","1.617802971","2.74","","","","","","","","","",""
"fish","4","41","","Atlantic Herring","1","31","17.05","0.333769537","0.71","","","","","","","","","",""
"fish","4","42","","Pacific Sardine","1","22","13.64","0.1949091048","0.57","","","","","","","","","",""
"fish","4","43","","Atlantic Cod","2","65","40.95","3.892809375","4.64","","","","","","","","","",""
"fish","4","44","","Common Carp","1","27","20.25","0.4428675","0.69","","","","","","","","","",""
"fish","4","45","","Pacific Sardine","1","19","11.78","0.1255523619","0.50","","","","","","","","","",""
"fish","4","46","","Pacific Sardine","1","18","11.16","0.1067533714","0.48","","","","","","","","","",""
"fish","4","47","","Bluefish","3","58","37.12","2.854209829","3.98","","","","","","","","","",""
"fish","4","48","","Atlantic Herring","1","35","19.25","0.4803587963","0.86","","","","","","","","","",""
"fish","4","49","","Atlantic Herring","1","27","14.85","0.2205225","0.60","","","","","","","","","",""
"fish","4","50","","Atlantic Cod","2","67","42.21","4.263315525","5.01","","","","","","","","","",""
"pond_summary","4","","","","","","","","","143.03","7.88","33","13","4","0","","","",""
"fish","5","1","1","Atlantic Herring","1","29","15.95","0.2732471296","0.65","","","","","","","","","",""
"fish","5","2","2","Atlantic Cod","2","87","54.81","9.334280025","10.08","","","","","","","","","",""
"fish","5","3","3","Common Carp","1","51","38.25","2.9846475","3.23","","","","","","","","","",""
"fish","5","4","4","Pacific Sardine","1","19","11.78","0.1255523619","0.50","","","","","","","","","",""
"fish","5","5","5","Common Carp","1","28","21","0.49392","0.74","","","","","","","","","",""
"fish","5","6","","Common Carp","1","42","31.5","1.66698","1.92","","","","","","","","","",""
"fish","5","7","","Tuna","3","76","54.72","8.127327086","9.25","","","","","","","","","",""
"fish","5","8","","Pacific Sardine","1","22","13.64","0.1949091048","0.57","","","","","","","","","",""
"fish","5","9","","Pacific Sardine","1","23","14.26","0.2227140381","0.60","","","","","","","","","",""
"fish","5","10","","Atlantic Herring","1","30","16.5","0.3025","0.68","","","","","","","","","",""
"fish","5","11","","Common Carp","1","55","41.25","3.7434375","3.99","","","","","","","","","",""
"fish","5","12","","Pacific Sardine","1","25","15.5","0.2860119048","0.66","","","","","","","","","",""
"fish","5","13","","Common Carp","1","41","30.75","1.5507225","1.80","","","","","","","","","",""
"fish","5","14","","Tuna","3","50","36","2.314285714","3.44","","","","","","","","","",""
"fish","5","15","","Common Carp","1","34","25.5","0.88434","1.13","","","","","","","","","",""
"fish","5","16","","Atlantic Herring","1","34","18.7","0.4403503704","0.82","","","","","","","","","",""
"fish","5","17","","Atlantic Cod","2","35","22.05","0.607753125","1.36","","","","","","","","","",""
"fish","5","18","","Atlantic Cod","2","68","42.84","4.4570736","5.21","","","","","","","","","",""
"fish","5","19","","Atlantic Herring","1","31","17.05","0.333769537","0.71","","","","","","","","","",""
"fish","5","20","","Common Carp","1","38","28.5","1.23462","1.48","","","","","","","","","",""
"fish","5","21","","Atlantic Cod","2","90","56.7","10.333575","11.08","","","","","","","","","",""
"fish","5","22","","Pacific Sardine","1","18","11.16","0.1067533714","0.48","","","","","","","","","",""
"fish","5","23","","Pacific Sardine","1","22","13.64","0.1949091048","0.57","","","","","","","","","",""
"fish","5","24","","Atlantic Cod","2","89","56.07","9.992935575","10.74","","","","","","","","","",""
"fish","5","25","","Common Carp","1","51","38.25","2.9846475","3.23","","","","","","","","","",""
"fish","5","26","","Atlantic Cod","2","70","44.1","4.862025","5.61","","","","","","","","","",""
"fish","5","27","","Common Carp","1","41","30.75","1.5507225","1.80","","","","","","","","","",""
"fish","5","28","","Pacific Sardine","1","25","15.5","0.2860119048","0.66","","","","","","","","","",""
"fish","5","29","","Common Carp","1","32","24","0.73728","0.99","","","","","","","","","",""
"fish","5","30","","Atlantic Cod","2","62","39.06","3.3782994","4.13","","","","","","","","","",""
"fish","5","31","","Common Carp","1","55","41.25","3.7434375","3.99","","","","","","","","","",""
"fish","5","32","","Atlantic Cod","2","36","22.68","0.6613488","1.41","","","","","","","","","",""
"fish","5","33","","Atlantic Cod","2","98","61.74","13.3413966","14.09","","","","","","","","","",""
"fish","5","34","","Common Carp","1","52","39","3.16368","3.41","","","","","","","","","",""
"fish","5","35","","Atlantic Cod","2","37","23.31","0.718006275","1.47","","","","","","","","","",""
"fish","5","36","","Atlantic Herring","1","35","19.25","0.4803587963","0.86","","","","","","","","","",""
"fish","5","37","","Common Carp","1","41","30.75","1.5507225","1.80","","","","","","","","","",""
"fish","5","38","","Common Carp","1","48","36","2.48832","2.74","","","","","","","","","",""
"fish","5","39","","Pacific Sardine","1","18","11.16","0.1067533714","0.48","","","","","","","","","",""
"fish","5","40","","Atlantic Cod","2","74","46.62","5.7440502","6.49","","","","","","","","","",""
"fish","5","41","","Pacific Sardine","1","25","15.5","0.2860119048","0.66","","","","","","","","","",""
"fish","5","42","","Atlantic Cod","2","62","39.06","3.3782994","4.13","","","","","","","","","",""
"fish","5","43","","Atlantic Cod","2","85","53.55","8.705221875","9.46","","","","","","","","","",""
"fish","5","44","","Atlantic Cod","2","42","26.46","1.0501974","1.80","","","","","","","","","",""
"fish","5","45","","Atlantic Herring","1","26","14.3","0.1969162963","0.57","","","","","","","","","",""
"fish","5","46","","Atlantic Cod","2","48","30.24","1.5676416","2.32","","","","","","","","","",""
"fish","5","47","","Atlantic Herring","1","28","15.4","0.2459437037","0.62","","","","","","","","","",""
"fish","5","48","","Atlantic Cod","2","83","52.29","8.105080725","8.86","","","","","","","","","",""
"fish","5","49","","Common Carp","1","39","29.25","1.3346775","1.58","","","","","","","","","",""
"fish","5","50","","Common Carp","1","29","21.75","0.5487525","0.80","","","","","","","","","",""
"pond_summary","5","","","","","","","","","155.65","15.20","32","16","2","0","","","",""
"fish","6","1","1","Atlantic Herring","1","25","13.75","0.1750578704","0.55","","","","","","","","","",""
"fish","6","2","2","Pacific Sardine","1","18","11.16","0.1067533714","0.48","","","","","","","","","",""
"fish","6","3","3","Pacific Sardine","1","18","11.16","0.1067533714","0.48","","","","","","","","","",""
"fish","6","4","4","Atlantic Herring","1","30","16.5","0.3025","0.68","","","","","","","","","",""
"fish","6","5","5","Atlantic Herring","1","31","17.05","0.333769537","0.71","","","","","","","","","",""
"fish","6","6","","Atlantic Cod","2","90","56.7","10.333575","11.08","","","","","","","","","",""
"fish","6","7","","Atlantic Cod","2","45","28.35","1.291696875","2.04","","","","","","","","","",""
"fish","6","8","","Atlantic Cod","2","91","57.33","10.68186892","11.43","","","","","","","","","",""
"fish","6","9","","Common Carp","1","53","39.75","3.3497325","3.60","","","","","","","","","",""
"fish","6","10","","Pacific Sardine","1","25","15.5","0.2860119048","0.66","","","","","","","","","",""
"fish","6","11","","Atlantic Herring","1","34","18.7","0.4403503704","0.82","","","","","","","","","",""
"fish","6","12","","Atlantic Cod","2","74","46.62","5.7440502","6.49","","","","","","","","","",""
"fish","6","13","","Common Carp","1","28","21","0.49392","0.74","","","","","","","","","",""
"fish","6","14","","Pacific Sardine","1","23","14.26","0.2227140381","0.60","","","","","","","","","",""
"fish","6","15","","Atlantic Herring","1","31","17.05","0.333769537","0.71","","","","","","","","","",""
"fish","6","16","","Atlantic Cod","2","69","43.47","4.656615075","5.41","","","","","","","","","",""
"fish","6","17","","Atlantic Cod","2","69","43.47","4.656615075","5.41","","","","","","","","","",""
"fish","6","18","","Pacific Sardine","1","22","13.64","0.1949091048","0.57","","","","","","","","","",""
"fish","6","19","","Pacific Sardine","1","22","13.64","0.1949091048","0.57","","","","","","","","","",""
"fish","6","20","","Atlantic Cod","2","52","32.76","1.9931184","2.74","","","","","","","","","",""
"fish","6","21","","Bluefish","3","74","47.36","5.927848229","7.05","","","","","","","","","",""
"fish","6","22","","Common Carp","1","54","40.5","3.54294","3.79","","","","","","","","","",""
"fish","6","23","","Atlantic Herring","1","27","14.85","0.2205225","0.60","","","","","","","","","",""
"fish","6","24","","Atlantic Cod","2","60","37.8","3.0618","3.81","","","","","","","","","",""
"fish","6","25","","Pacific Sardine","1","18","11.16","0.1067533714","0.48","","","","","","","","","",""
"fish","6","26","","Atlantic Herring","1","30","16.5","0.3025","0.68","","","","","","","","","",""
"fish","6","27","","Common Carp","1","27","20.25","0.4428675","0.69","","","","","","","","","",""
"fish","6","28","","Pacific Sardine","1","25","15.5","0.2860119048","0.66","","","","","","","","","",""
"fish","6","29","","Atlantic Herring","1","28","15.4","0.2459437037","0.62","","","","","","","","","",""
"fish","6","30","","Pacific Sardine","1","22","13.64","0.1949091048","0.57","","","","","","","","","",""
"fish","6","31","","Atlantic Cod","2","38","23.94","0.7778106","1.53","","","","","","","","","",""
"fish","6","32","","Pacific Sardine","1","23","14.26","0.2227140381","0.60","","","","","","","","","",""
"fish","6","33","","Atlantic Herring","1","29","15.95","0.2732471296","0.65","","","","","","","","","",""
"fish","6","34","","Atlantic Herring","1","26","14.3","0.1969162963","0.57","","","","","","","","","",""
"fish","6","35","","Common Carp","1","31","23.25","0.6702975","0.92","","","","","","","","","",""
"fish","6","36","","Tuna","3","72","51.84","6.910420114","8.04","","","","","","","","","",""
"fish","6","37","","Common Carp","1","48","36","2.48832","2.74","","","","","","","","","",""
"fish","6","38","","Common Carp","1","54","40.5","3.54294","3.79","","","","","","","","","",""
"fish","6","39","","Pacific Sardine","1","21","13.02","0.1695204","0.54","","","","","","","","","",""
"fish","6","40","","Atlantic Herring","1","28","15.4","0.2459437037","0.62","","","","","","","","","",""
"fish","6","41","","Common Carp","1","37","27.75","1.1396925","1.39","","","","","","","","","",""
"fish","6","42","","Atlantic Cod","2","57","35.91","2.625110775","3.38","","","","","","","","","",""
"fish","6","43","","Common Carp","1","38","28.5","1.23462","1.48","","","","","","","","","",""
